Name,Url,Type,Status
Portal Open Data Jakarta,http://data.jakarta.go.id/,CKAN,1
Portal Open Data Bandung,http://data.bandung.go.id/,CKAN,1
Portal Open Data Indonesia,http://data.go.id/,CKAN,1
